,Years Predicted,CO2 interpolated,N2O interpolated,Methane interpolated
0,2016,379.6233729227506,320.33797802476624,1879.7728038101632
1,2017,380.55004924598984,320.803062330579,1890.3036481925883
2,2018,381.4767255692293,321.26814663639186,1900.8344925750134
3,2019,382.40340189246854,321.7332309422046,1911.3653369574422
4,2020,383.330078215708,322.19831524801737,1921.8961813398673
5,2021,384.25675453894723,322.6633995538301,1932.4270257222925
6,2022,385.1834308621867,323.12848385964287,1942.9578701047176
7,2023,386.11010718542593,323.5935681654556,1953.4887144871427
8,2024,387.0367835086654,324.0586524712684,1964.0195588695715
9,2025,387.96345983190463,324.5237367770811,1974.5504032519966
